,Initial_Richness,Target_Trait_Composition,Controller_Success,Confidence_Interval_95
0,0.0,0.2,1.0,0.0
1,0.0,0.4,1.0,0.0
2,0.0,0.6,0.9,0.0924966215599251
3,0.0,0.8,0.4,0.15104635050208925
4,1.0,0.2,0.86,0.04784459217090266
5,1.0,0.4,0.78,0.05711869221191955
6,1.0,0.6,0.64,0.06618519471906084
7,1.0,0.8,0.36,0.06618519471906084
8,2.0,0.2,0.86,0.03383123556715007
9,2.0,0.4,0.75,0.042218738434491386
10,2.0,0.6,0.65,0.04650453606907609
11,2.0,0.8,0.37,0.047073420047835914
12,3.0,0.2,0.872093023255814,0.03511429174370071
13,3.0,0.4,0.7738095238095238,0.044506061672896655
14,3.0,0.6,0.6976744186046512,0.04828577852080629
15,3.0,0.8,0.43902439024390244,0.053433546886845276
16,4.0,0.2,0.8421052631578947,0.05767396839739906
17,4.0,0.4,0.8484848484848485,0.06085520415525167
18,4.0,0.6,0.6363636363636364,0.08164582396546223
19,4.0,0.8,0.45454545454545453,0.08451145677404114
20,5.0,0.2,0.8333333333333334,0.14834152599098246
21,5.0,0.4,1.0,0.0
22,5.0,0.6,1.0,0.0
23,5.0,0.8,0.6666666666666666,0.26536138880151094
